"language"	"langcode"	"family"	"location"	"core inventory"	"marginal inventory"	"reference"
"!Xóõ"	"!XOO"	"KHOISAN"	"Botswana"	"ʘ,ǀ,ǁ,ǃ,ǂ,t,ts,k,q,i,e,a,o,u,ɡʘ,ɡǀ,ɡǁ,ɡǃ,ɡǂ,tʰ,tsʰ,kʰ,qʰ,ẽ,ã,õ,ũ,ʘn,ǀn,ǁn,ǃn,ǂn,b,d,dz,ɡ,i̤,e̤,a̤,o̤,ṳ,ʔʘn,ʔǀn,ʔǁn,ʔǃn,ʔǂn,dʰ,dzʰ,aˤ,oˤ,uˤ,ʘn̥,ǀn̥,ǁn̥,ǃn̥,ǂn̥,dʲ,iʔ,eʔ,aʔ,oʔ,uʔ,ʘq,ǀq,ǁq,ǃq,ǂq,tx,tsx,ẽ̤,ã̤,õ̤,ṳ̃,mʘG,mǀG,mǁG,mǃG,mǂG,dx,dzx,a̤ʔ,o̤ʔ,ṳʔ,ʘqʰ,ǀqʰ,ǁqʰ,ǃqʰ,ǂqʰ,tsʼ,kxʼ,ã̤ʔ,õ̤ʔ,ʘx,ǀx,ǁx,ǃx,ǂx,dzʼ,ɡkx’,ãˤ,õˤ,ũˤ,ʘqʔ,ǀqʔ,ǁqʔ,ǃqʔ,ǂqʔ,tʼkxʼ,tsʼkxʼ,aˤʔ,uˤʔ,ʘkxʔ,ǀkxʔ,ǁkxʔ,ǃkxʔ,ǂkxʔ,dʼkxʼ,dzʼkxʼ,a̤ˤ,o̤ˤ,ṳˤ,ʘʰ,ǀʰ,ǁʰ,ǃʰ,ǂʰ,s,x,ã̤ˤ,ʘʔ,ǀʔ,ǁʔ,ǃʔ,ǂʔ,m,n,ɲ,ĩʔ,ãʔ,õʔ,ũʔ,ɡʘx,ɡǀx,ɡǁx,ɡǃx,ɡǂx,ʔm,ʔn,ɡʘʰ,ɡǀʰ,ɡǁʰ,ɡǃʰ,ɡǂʰ,ɡʘkx,ɡǀkx,ɡǁkx,ɡǃkx,ɡǂkx,"	"p,pʰ,qʼ,l,"	"Traill, Anthony (1985) Phonetic and Phonological Studies of !XÓÕ Bushman. Hamburg: Helmut Buske Verlag."
"Abujhmaria"	"ABUJ"	"DRAVIDIAN"	"India"	"p,t̪,ʈ,tʃ,k,b,d̪,ɖ,dʒ,ɡ,iː,uː,s,h,i,u,m,n,ŋ,eː,oː,r,e,o,ɽ,aː,l,a,w,j,"		"Natarajan, G. V. (1985) Abujhmaria Grammar. Mysore: Central Institute of Indian Languages."
"Abun"	"ABUN"	"WEST PAPUAN"	"Indonesia (Irian Jaya)"	"p,t,k,b,d,dʒ,ɡ,b,ⁿd,ⁿdʒ,ɡ,i,u,f,s,ʃ,e,o,m,n,ɲ,a,r,w,j,"		"Berry, Keith, and Christine Berry (1998) A description of Abun: a West Papuan language of Irian Jaya. Canberra: Pacific Linguistics."
"Acehnese"	"ACEH"	"AUSTRONESIAN"	"Indonesia"	"p,t,tʃ,k,ʔ,i,ɯ,u,b,d,dʒ,ɡ,e,ɤ,o,s,ʃ,ɛ,ʌ,ɔ,m,n,ɲ,ŋ,a,r,ĩ,ɯ̃,ũ,l,ɛ̃,ʌ̃,ɔ̃,w,j,h,ã,"		"Durie, Mark (1985) A Grammar of Acehnese on the Basis of a Dialect of North Aceh. Cinnaminson, N.J.: Foris."
"Adyghe (Bzhedukh dialect)"	"ADYG"	"NORTH CAUCASIAN"	"Russia, Turkey, Jordan, Syria"	"pʰ,tʰ,tsʰ,tʃʰʷ,ʈʂʰ,t̻ɕʰ,kʰʷ,qʰ,qʰʷ,p,t,ts,tʃʷ,ʈʂ,t̻ɕ,k,kʷ,q,qʷ,ə,b,d,dz,dʒʷ,ɖʐ,d̻ʑ,ɡʷ,a,pʼ,tʼ,tsʼ,ʈʂʼ,t̻ɕʼ,kʼ,kʼʷ,ʔ,ʔʷ,ʂʰ,ɕʰ,xʰ,f,s,ɬ,ʃ,ʃʷ,ʂ,ɕ,x,χ,χʷ,ħ,z,ɮ,ʒ,ʒʷ,ʐ,ʑ,ɣ,ʁ,ʁʷ,ɬʼ,ʃʼ,ʃʼʷ,m,n,r,w,j,"		"Colarusso, John (1988) The Northwest Caucasian Languages: A Phonological Survey. New York: Garland Publishing."
"Af Tunni Somali (Tunni)"	"AFTU"	"AFRO-ASIATIC (Cushitic)"	"Somalia"	"t̪ʰ,kʰ,ʔ,b,d̪,ɖ,dʒ,ɡ,ɢ,ɪ̘,ʊ̘,ʄ,ɪ,ʊ,f,s,ʃ,h,ɛ̘,ɔ̘,m,n̪,ɲ,ŋ,ɛ,ə,ɔ,r,a̠,a,l,w,j,"		"Tosco, Mauro (1997) Af Tunni: Grammar, Texts, And Glossary Of A Southern Somali Dialect. Köln: Rüdiger Köppe Verlag"
"Afar"	"AFAR"	"AFRO-ASIATIC (Cushitic)"	"Ethiopia, Djibouti, and Eritrea"	"t,k,iː,uː,b,d,ɖ,ɡ,i,u,f,s,ħ,h,eː,oː,ʕ,e,o,m,n,aː,r,a,w,l,j,"		"Bliese, Loren F. (1981) A Generative Grammar of Afar. Arlington: Summer Institute of Linguistics and the University of Texas at Arlington."
"Afrikaans"	"AFRI"	"INDO-EUROPEAN (Germanic)"	"South Africa"	"p,t,k,b,d,əi,oə,i,y,u,f,s,x,œi,œu,ɪ,v,ɦ,øə,ɛː,œː,ɔː,m,n,ŋ,eə,ai,ɛ,œ,ɔ,l,aː,r,a,j,"		"Donaldson, Bruce C. (1993) A Grammar of Afrikaans. New York: Mouton de Gruyter."
"Afrikaans (in the Transvaal and the Free State)"	"AFRT"	"INDO-EUROPEAN (Germanic)"	"South Africa"	"p,t,k,b,d,əi,oə,i,y,u,f,s,x,œi,œu,ɪ,v,ɦ,øə,ɛː,œː,ɔː,m,n,ŋ,eə,ai,ɛ,œ,ɔ,l,aː,r,a,j,"		"Donaldson, Bruce C. (1993) A Grammar of Afrikaans. New York: Mouton de Gruyter."
"Agarabi"	"AGAR"	"TRANS-NEW GUINEA"	"Papua New Guinea"	"p,t,k,ʔ,b,d,i,u,m,n,e,ə,o,r,"		"Bee, Darlene, Lorna Luff, and Jean Goddard (1973) Notes on Agarabi Phonology. In McKaughan, Howard (ed.) (1973) The Languages of the Eastern Family of the East New Guinea Highland Stock. Seattle: University of Washington Press."
