language,entropy,mean_word_length
af,13.6830,11.9400
am,10.5723,19.0727
ar,10.8742,8.0327
az,7.1636,10.7917
ca,16.3872,12.1238
de,19.4314,11.4309
en,13.1908,10.1420
es,18.0028,12.5660
fa,19.7522,15.1267
fr,18.8148,12.5321
hi,19.1573,15.5911
hu,15.6549,10.3311
it,17.2678,12.2641
mr,10.1140,12.6881
pl,17.9625,11.1457
pt,18.3251,12.8616
ru,17.4795,10.0222
sv,14.2639,9.8649
ta,12.9547,8.3786
th,13.9137,2.1069
tr,17.2705,11.2315
ug,15.4931,10.3204
uk,12.1348,8.2114
ur,14.6238,16.5405
vi,15.7728,19.3879
yue,10.2282,66.3377
zh,8.6961,52.6506
