language,dataset,split,ipa_char,count
af,afribooms,dev,ə,3875
af,afribooms,dev,r,1831
af,afribooms,dev,n,1713
af,afribooms,dev,i,1594
af,afribooms,dev,t,1501
af,afribooms,dev,s,1462
af,afribooms,dev,d,1085
af,afribooms,dev,ɐ,912
af,afribooms,dev,f,891
af,afribooms,dev,l,850
af,afribooms,dev,ɛ,837
af,afribooms,dev,k,791
af,afribooms,dev,x,782
af,afribooms,dev,ː,677
af,afribooms,dev,ɔ,645
af,afribooms,dev,ɑ,605
af,afribooms,dev,m,503
af,afribooms,dev,v,503
af,afribooms,dev,b,429
af,afribooms,dev,h,391
af,afribooms,dev,p,387
af,afribooms,dev,ɪ,379
af,afribooms,dev,ʊ,370
af,afribooms,dev,u,293
af,afribooms,dev,ŋ,278
af,afribooms,dev,æ,272
af,afribooms,dev,",",250
af,afribooms,dev,y,245
af,afribooms,dev,ø,228
af,afribooms,dev,.,196
af,afribooms,dev,œ,103
af,afribooms,dev,̃,85
af,afribooms,dev,o,71
af,afribooms,dev,j,64
af,afribooms,dev,ts,51
af,afribooms,dev,(,50
af,afribooms,dev,),50
af,afribooms,dev,bv,47
af,afribooms,dev,w,38
af,afribooms,dev,e,34
af,afribooms,dev,ʃ,30
af,afribooms,dev,a,22
af,afribooms,dev,"""",14
af,afribooms,dev,:,6
af,afribooms,dev,ɡ,5
af,afribooms,dev,ʔ,5
af,afribooms,dev,ɹ,4
af,afribooms,dev,z,4
af,afribooms,dev,;,3
af,afribooms,dev,ɒ,3
af,afribooms,dev,pf,2
af,afribooms,dev,θ,2
af,afribooms,train,ə,14483
af,afribooms,train,r,6467
af,afribooms,train,n,6166
af,afribooms,train,t,6087
af,afribooms,train,i,5201
af,afribooms,train,s,5139
af,afribooms,train,d,3862
af,afribooms,train,ɐ,3470
af,afribooms,train,f,3218
af,afribooms,train,l,3130
af,afribooms,train,k,2739
af,afribooms,train,ɛ,2732
af,afribooms,train,ː,2579
af,afribooms,train,ɔ,2476
af,afribooms,train,x,2415
af,afribooms,train,ɑ,2302
af,afribooms,train,m,2029
af,afribooms,train,v,1676
af,afribooms,train,b,1437
af,afribooms,train,ʊ,1332
af,afribooms,train,p,1322
af,afribooms,train,ɪ,1264
af,afribooms,train,u,1204
af,afribooms,train,ŋ,915
af,afribooms,train,h,889
af,afribooms,train,.,850
af,afribooms,train,y,768
af,afribooms,train,æ,702
af,afribooms,train,ø,692
af,afribooms,train,",",626
af,afribooms,train,œ,499
af,afribooms,train,j,322
af,afribooms,train,ts,282
af,afribooms,train,(,190
af,afribooms,train,),189
af,afribooms,train,w,103
af,afribooms,train,ʃ,97
af,afribooms,train,e,84
af,afribooms,train,̃,77
af,afribooms,train,a,51
af,afribooms,train,ɡ,41
af,afribooms,train,:,37
af,afribooms,train,"""",24
af,afribooms,train,?,20
af,afribooms,train,ʔ,19
af,afribooms,train,;,18
af,afribooms,train,o,16
af,afribooms,train,z,12
af,afribooms,train,pf,12
af,afribooms,train,ɹ,10
af,afribooms,train,tʃ,8
af,afribooms,train,ʒ,4
af,afribooms,train,dʒ,3
af,afribooms,train,ɒ,3
af,afribooms,train,bv,3
af,afribooms,train,ʌ,2
af,afribooms,train,θ,2
af,afribooms,train,[,1
af,afribooms,train,],1
am,att,test,ə,5016
am,att,test,ɨ,3332
am,att,test,a,2276
am,att,test,t,1703
am,att,test,n,1475
am,att,test,l,1354
am,att,test,m,1254
am,att,test,b,1045
am,att,test,s,1036
am,att,test,።,944
am,att,test,ʼ,914
am,att,test,r,888
am,att,test,w,834
am,att,test,k,806
am,att,test,u,769
am,att,test,j,731
am,att,test,d,702
am,att,test,h,573
am,att,test,ɡ,548
am,att,test,o,484
am,att,test,e,457
am,att,test,t͡ʃ,376
am,att,test,z,342
am,att,test,i,329
am,att,test,f,240
am,att,test,ɲ,180
am,att,test,d͡ʒ,144
am,att,test,ʃ,117
am,att,test,ʷ,114
am,att,test,?,105
am,att,test,t͡s,51
am,att,test,!,33
am,att,test,p,14
am,att,test,~,10
am,att,test,፣,9
am,att,test,x,6
am,att,test,ʒ,5
am,att,test,፤,1
am,att,test,1,1
am,att,test,.,1
am,att,test,8,1
am,att,test,5,1
am,att,test,/,1
ar,padt,dev,ː,33583
ar,padt,dev,a,19502
ar,padt,dev,l,12226
ar,padt,dev,i,9964
ar,padt,dev,m,6487
ar,padt,dev,u,6189
ar,padt,dev,n,5638
ar,padt,dev,t,5588
ar,padt,dev,r,5469
ar,padt,dev,d,4269
ar,padt,dev,s,3892
ar,padt,dev,b,3595
ar,padt,dev,ʕ,3451
ar,padt,dev,ة,3310
ar,padt,dev,ˤ,3157
ar,padt,dev,f,2981
ar,padt,dev,q,2454
ar,padt,dev,h,2259
ar,padt,dev,ħ,1934
ar,padt,dev,k,1864
ar,padt,dev,ʔ,1481
ar,padt,dev,d͡ʒ,1414
ar,padt,dev,ى,953
ar,padt,dev,ʃ,884
ar,padt,dev,ٔ,866
ar,padt,dev,.,826
ar,padt,dev,z,778
ar,padt,dev,ð,766
ar,padt,dev,x,746
ar,padt,dev,"""",701
ar,padt,dev,ɣ,548
ar,padt,dev,θ,545
ar,padt,dev,،,441
ar,padt,dev,ء,380
ar,padt,dev,1,294
ar,padt,dev,0,267
ar,padt,dev,(,226
ar,padt,dev,),226
ar,padt,dev,-,224
ar,padt,dev,2,200
ar,padt,dev,ts,187
ar,padt,dev,5,166
ar,padt,dev,ً,155
ar,padt,dev,3,133
ar,padt,dev,7,132
ar,padt,dev,tʃ,131
ar,padt,dev,9,113
ar,padt,dev,ـ,100
ar,padt,dev,6,89
ar,padt,dev,4,86
ar,padt,dev,/,76
ar,padt,dev,8,56
ar,padt,dev,:,50
